Team	Mkt O/U	SP+ Rk	SP+ Rtg	RetProd%	Ret Off%	Ret Def%	TARP net	TARP off	TARP def	Collin Proj	Proj−Mkt	6-Win%	SOS Rk
Ohio State	9.5	1	31.8	60	71	50	10.5	6.0	4.5				
Oregon	10.5	2	28.3	66	65	66	11.0	6.0	5.0				
Notre Dame	11.5	3	25.8	72	67	77	5.5	0.5	5.0				
Georgia	9.5	4	25.5	68	63	72	8.0	3.0	5.0				
Indiana	10.5	5	24.5	56	54	58	7.5	5.0	2.5				
Texas	9.5	6	23.7	68	73	63	10.5	6.0	4.5				
Texas Tech	10.5	7	23.1	65	67	64	11.0	6.0	5.0				
Miami	10.5	8	21.0	49	48	51	4.5	3.0	1.5				
Texas A&M	8.5	9	20.3	65	67	63	8.5	3.5	5.0				
LSU	8.5	10	20.2	61	61	60	10.5	6.0	4.5				
Alabama	8.5	11	18.2	48	35	61	-2.0	-4.0	2.0				
Oklahoma	7.5	12	17.2	65	75	55	8.0	6.0	2.0				
USC	8.5	13	16.8	65	67	64	6.5	2.5	4.0				
Michigan	8.5	14	16.1	63	72	55	4.5	6.0	-1.5				
Tennessee	7.5	15	16.0	62	58	65	5.0	0.0	5.0				
Ole Miss	7.5	16	15.9	61	61	62	4.5	-0.5	5.0				
Penn State	8.5	17	15.7	52	50	53	11.0	6.0	5.0				
BYU	8.5	18	15.5	64	59	69	8.5	4.0	4.5				
Florida	7.5	19	14.9	66	55	77	11.0	6.0	5.0				
Missouri	6.5	20	14.8	49	59	40	-1.0	0.0	-1.0				
Washington	7.5	21	14.5	65	69	61	3.5	3.0	0.5				
Iowa	7.5	22	13.6	44	48	40	-3.0	-2.0	-1.0				
Clemson	7.5	23	12.8	53	46	61	0.0	-1.5	1.5				
South Carolina	6.5	24	12.1	68	76	61	9.5	6.0	3.5				
Utah	8.5	25	11.9	55	55	55	3.0	2.0	1.0				
Auburn	6.5	26	11.2	57	56	58	7.0	6.0	1.0				
Louisville	8.5	27	11.0	53	52	55	0.5	-0.5	1.0				
SMU	8.5	28	10.9	62	66	58	6.0	4.5	1.5				
