Team	Mkt O/U	SP+ Rk	SP+ Rtg	RetProd%	Ret Off%	Ret Def%	TARP net	TARP off	TARP def	Collin Proj	Proj−Mkt	6-Win%	SOS Rk	Pool Conf	game_count	game_delta	bye_count	byes	home	road	max_road_streak	cupcakes	sos_proxy	anchor_on_anchor	pod_upside_status
Air Force	7.5	79	-2.4	59	42	75	3.0	-1.5	4.5					MWC	12	0	1	3	7	5	1	1	5.7		pending-pod
Akron	4.5	127	-19.5	40	44	37	-0.5	-3.0	2.5					MAC	12	0	1	9	6	6	2	1	5.9		pending-pod
Alabama	8.5	11	18.2	48	35	61	-2.0	-4.0	2.0					SEC	12	0	1	9	7	5	2	1	6.9		pending-pod
Appalachian State	5.5	111	-12.1	34	30	39	-3.0	-3.0	0.0	5.0	-0.5			Sun Belt	12	0	1	5	6	6	1	1	5.8		pending-pod
Arizona	7.5	30	10.2	60	66	55	-0.5	-0.5	0.0					Big 12	12	0	1	7	7	5	1	1	6.6		pending-pod
Arizona State	6.5	42	6.4	51	53	49	2.0	2.0	0.0					Big 12	12	0	1	4	6	6	2	1	7.2		pending-pod
Arkansas	4.5	47	5.0	55	55	55	6.5	3.0	3.5					Pac12	12	0	1	8	7	5	1	1	7.5	wk3 vs Georgia(9.5); wk5 @ Texas A&M(8.5); wk12 @ Texas(9.5); wk13 vs LSU(8.5)	pod-loaded
Arkansas State	6.5	101	-8.5	49	52	45	1.5	3.5	-2.0	6.5	0.0			Sun Belt	12	0	1	9	6	6	2	1	5.6		pod-loaded
Army	7.5	83	-3.0	50	67	33	-1.0	2.0	-3.0					AAC	12	0	2	3&11	7	5	2	1	6.5		pending-pod
Auburn	6.5	26	11.2	57	56	58	7.0	6.0	1.0					SEC	12	0	1	6	7	5	2	1	6.7		pending-pod
BYU	8.5	18	15.5	64	59	69	8.5	4.0	4.5					Big 12	12	0	1	4	7	5	2	1	6.5		pending-pod
Ball State	3.5	134	-25.2	36	47	24	-3.5	-2.5	-1.0					MAC	12	0	1	9	5	7	2	1	5.9		pending-pod
Baylor	6.5	51	4.5	53	44	62	1.5	-0.5	2.0					Big 12	12	0	1	6	6	6	2	1	6.6		pending-pod
Boise State	7.5	39	6.8	57	60	55	-0.5	0.0	-0.5	7.0	-0.5			Pac12	13	+1	1	7	6	5	2	1	6.2	wk1 @ Oregon(10.5); wk2 vs Memphis(7.5); wk4 @ Western Michigan(7.5)	pod-loaded
Boston College	3.5	74	-1.5	50	44	57	-0.5	-3.0	2.5					MWC	12	0	1	6	6	6	2	1	7.0	wk11 @ Notre Dame(11.5); wk13 @ Miami(10.5)	pending-pod
Bowling Green	4.5	115	-13.3	35	32	38	-5.5	-4.5	-1.0					MAC	12	0	1	10	6	6	2	1	5.6		pending-pod
Buffalo	5.5	110	-11.9	30	26	33	-7.5	-6.0	-1.5					MAC	12	0	1	9	6	6	2	2	5.9		pending-pod
California	6.5	56	3.7	58	70	45	4.0	6.0	-2.0					ACC	12	0	1	10	7	5	3	1	6.6		pending-pod
Central Michigan	6.5	113	-12.4	46	62	29	0.5	3.0	-2.5					MAC	12	0	1	9	6	6	2	1	6.2		pending-pod
Charlotte	2.5	138	-32.4	43	52	34	-1.0	0.0	-1.0					AAC	12	0	1	8	6	6	2	1	6.4		pending-pod
Cincinnati	5.5	50	4.5	57	57	56	2.5	1.0	1.5					Big 12	12	0	1	6	7	5	2	1	7.0		pending-pod
Clemson	7.5	23	12.8	53	46	61	0.0	-1.5	1.5					ACC	12	0	1	6	7	5	2	1	6.4		pending-pod
Coastal Carolina	4.5	119	-13.8	42	39	44	0.5	1.5	-1.0	4.2	-0.3			Sun Belt	12	0	1	8	6	6	2	1	6.6		pod-loaded
Colorado	4.5	65	0.9	55	57	53	11.0	6.0	5.0					Big 12	12	0	1	6	6	6	2	1	7.1		pending-pod
Colorado State	3.5	99	-8.3	46	38	54	3.5	3.5	0.0	2.8	-0.7			Pac12	13	+1	1	6	7	5	2	2	6.2	wk4 @ UTSA(7.5); wk10 vs Boise State(7.5)	pod-loaded
Delaware	6.5	114	-13.0	62	62	62	-0.5	0.5	-1.0					CUSA	12	0	1	6	6	6	2	1	6.0		pending-pod
Duke	5.5	44	5.7	49	48	51	-3.0	-3.0	0.0					ACC	12	0	1	5	6	6	2	1	6.5		pending-pod
EMU	5.5	121	-15.0	62	59	64	-6.0	-4.5	-1.5					MAC	12	0	2	9&11	6	6	2	1	5.3		pending-pod
East Carolina	7.5	76	-2.0	42	33	50	-8.0	-6.0	-2.0					AAC	12	0	1	5	6	6	2	1	6.0		pending-pod
Florida	7.5	19	14.9	66	55	77	11.0	6.0	5.0					SEC	12	0	1	8	6	6	2	1	6.9		pending-pod
Florida Atlantic	5.5	94	-7.1	64	62	65	6.0	3.0	3.0					AAC	12	0	1	6	6	6	1	1	6.4		pending-pod
Florida Intl	6.5	118	-13.7	47	43	50	4.0	2.0	2.0					CUSA	12	0	1	5	6	6	2	1	5.9		pending-pod
Florida State	6.5	35	8.8	57	57	57	6.0	3.0	3.0					ACC	12	0	2	2&8	7	5	2	1	7.4		pending-pod
Fresno State	6.5	78	-2.3	53	52	54	-3.0	-2.0	-1.0	4.5	-2.0			Pac12	13	+1	1	8	6	6	2	1	5.3	wk6 vs Boise State(7.5)	pod-loaded
Georgia	9.5	4	25.5	68	63	72	8.0	3.0	5.0					SEC	12	0	1	8	8	4	1	1	6.7		pending-pod
Georgia Southern	4.5	103	-8.9	43	23	62	-4.5	-5.5	1.0	4.2	-0.3			Sun Belt	12	0	1	8	6	6	2	1	6.7		pod-loaded
Georgia State	4.5	133	-25.1	38	48	27	1.5	0.0	1.5	3.9	-0.6			Sun Belt	12	0	1	6	6	6	2	1	6.1		pod-loaded
Georgia Tech	6.5	43	6.0	49	37	61	0.5	-4.0	4.5					ACC	12	0	1	5	7	5	1	1	6.3		pending-pod
Hawaii	7.5	84	-3.9	45	54	37	-3.0	0.0	-3.0					MWC	12	0	2	3&9	6	6	2	0	5.0		pending-pod
Houston	8.5	36	8.2	65	71	58	7.0	6.0	1.0					Big 12	12	0	1	9	6	6	2	1	6.4		pending-pod
Illinois	7.5	33	9.3	50	52	47	3.0	4.0	-1.0					Big Ten	12	0	1	7	7	5	1	1	6.2		pending-pod
Indiana	10.5	5	24.5	56	54	58	7.5	5.0	2.5					Big Ten	12	0	1	10	8	4	2	1	6.6		pending-pod
Iowa	7.5	22	13.6	44	48	40	-3.0	-2.0	-1.0					Big Ten	12	0	1	7	7	5	2	1	6.3		pending-pod
Iowa State	4.5	64	1.0	45	44	46	-7.0	-6.0	-1.0					Big 12	12	0	1	7	7	5	2	1	6.8		pending-pod
Jacksonville State	7.5	98	-7.7	57	60	54	3.0	1.5	1.5					CUSA	12	0	2	5&8	6	6	1	1	5.3		pending-pod
James Madison	8.5	77	-2.1	30	27	32	-10.0	-6.0	-4.0	8.0	-0.5			Sun Belt	12	0	1	12	6	6	2	1	5.9	wk1 vs Liberty(8.5); wk5 vs Marshall(7.5); wk9 vs Troy(6.5)	pod-loaded
Kansas	5.5	57	3.7	58	49	67	3.5	-0.5	4.0					Big 12	12	0	1	4	7	5	2	1	6.6		pending-pod
Kansas State	8.5	29	10.4	58	65	51	5.5	3.0	2.5					Big 12	12	0	1	5	7	5	2	1	6.1		pending-pod
Kennesaw State	6.5	105	-9.3	49	42	55	-4.0	-3.0	-1.0					CUSA	12	0	1	5	6	6	2	1	6.0		pending-pod
