Team	Pool Conf	Real Conf
Air Force	MWC	MWC
Akron	MAC	MAC
Alabama	SEC	SEC
Appalachian State	Sun Belt	Sun Belt
Arizona	Big 12	Big 12
Arizona State	Big 12	Big 12
Arkansas	Pac12	SEC
Arkansas State	Sun Belt	Sun Belt
Army	AAC	AAC
Auburn	SEC	SEC
BYU	Big 12	Big 12
Ball State	MAC	MAC
Baylor	Big 12	Big 12
Boise State	Pac12	Pac12
Boston College	MWC	ACC
Bowling Green	MAC	MAC
Buffalo	MAC	MAC
California	ACC	ACC
Central Michigan	MAC	MAC
Charlotte	AAC	AAC
Cincinnati	Big 12	Big 12
Clemson	ACC	ACC
Coastal Carolina	Sun Belt	Sun Belt
Colorado	Big 12	Big 12
Colorado State	Pac12	Pac12
Delaware	CUSA	CUSA
Duke	ACC	ACC
EMU	MAC	MAC
East Carolina	AAC	AAC
Florida	SEC	SEC
Florida Atlantic	AAC	AAC
Florida Intl	CUSA	CUSA
Florida State	ACC	ACC
Fresno State	Pac12	Pac12
Georgia	SEC	SEC
Georgia Southern	Sun Belt	Sun Belt
Georgia State	Sun Belt	Sun Belt
Georgia Tech	ACC	ACC
Hawaii	MWC	MWC
Houston	Big 12	Big 12
Illinois	Big Ten	Big Ten
Indiana	Big Ten	Big Ten
Iowa	Big Ten	Big Ten
Iowa State	Big 12	Big 12
Jacksonville State	CUSA	CUSA
James Madison	Sun Belt	Sun Belt
Kansas	Big 12	Big 12
Kansas State	Big 12	Big 12
Kennesaw State	CUSA	CUSA
Kent State	MAC	MAC
Kentucky	SEC	SEC
LSU	SEC	SEC
Liberty	CUSA	CUSA
Louisiana Tech	Sun Belt	Sun Belt
Louisville	ACC	ACC
Marshall	Sun Belt	Sun Belt
Maryland	Big Ten	Big Ten
Memphis	AAC	AAC
Miami	ACC	ACC
Miami-OH	MAC	MAC
Michigan	Big Ten	Big Ten
Michigan State	Pac12	Big Ten
Middle Tennessee	CUSA	CUSA
Minnesota	Big Ten	Big Ten
Mississippi State	SEC	SEC
Missouri	SEC	SEC
Missouri State	CUSA	CUSA
NC State	ACC	ACC
Navy	AAC	AAC
Nebraska	Big Ten	Big Ten
Nevada	MWC	MWC
New Mexico	MWC	MWC
New Mexico State	CUSA	CUSA
North Carolina	ACC	ACC
North Dakota State	MWC	MWC
North Texas	AAC	AAC
Northern Illinois	MWC	MWC
Northwestern	Big Ten	Big Ten
Notre Dame	CUSA	Independent
Ohio	MAC	MAC
Ohio State	Big Ten	Big Ten
Oklahoma	SEC	SEC
Oklahoma State	Pac12	Big 12
Old Dominion	Sun Belt	Sun Belt
Ole Miss	SEC	SEC
Oregon	Big Ten	Big Ten
Oregon State	Pac12	Pac12
Penn State	Big Ten	Big Ten
Pittsburgh	ACC	ACC
Purdue	Pac12	Big Ten
Rice	AAC	AAC
Rutgers	Big Ten	Big Ten
SMU	ACC	ACC
Sacramento State	MAC	MAC
Sam Houston	CUSA	CUSA
San Diego State	Pac12	Pac12
San José State	MWC	MWC
South Alabama	Sun Belt	Sun Belt
South Carolina	SEC	SEC
South Florida	AAC	AAC
Southern Mississippi	Sun Belt	Sun Belt
Stanford	ACC	ACC
Syracuse	MWC	ACC
TCU	Big 12	Big 12
Temple	AAC	AAC
Tennessee	SEC	SEC
Texas	SEC	SEC
Texas A&M	SEC	SEC
Texas State	Pac12	Pac12
Texas Tech	Big 12	Big 12
Toledo	MAC	MAC
Troy	Sun Belt	Sun Belt
Tulane	AAC	AAC
Tulsa	AAC	AAC
UAB	AAC	AAC
UCF	Big 12	Big 12
UCLA	Big Ten	Big Ten
UConn	CUSA	Independent
UL Lafayette	Sun Belt	Sun Belt
UL Monroe	Sun Belt	Sun Belt
UMASS	MAC	MAC
UNLV	MWC	MWC
USC	Big Ten	Big Ten
UTEP	MWC	MWC
UTSA	AAC	AAC
Utah	Big 12	Big 12
Utah State	Pac12	Pac12
Vanderbilt	SEC	SEC
Virginia	ACC	ACC
Virginia Tech	ACC	ACC
Wake Forest	ACC	ACC
Washington	Big Ten	Big Ten
Washington State	Pac12	Pac12
West Virginia	Big 12	Big 12
Western Kentucky	CUSA	CUSA
Western Michigan	MAC	MAC
Wisconsin	Big Ten	Big Ten
Wyoming	MWC	MWC
