season,week,home,away,neutral,home_sp,away_sp,sp_diff,home_open_spread,home_open_ml,away_open_ml,home_points,away_points,home_win
2020,1,Southern Miss,South Alabama,0,-7.9,-11.3,3.4,,,,21,32,0
2020,1,Army,Middle Tennessee,0,2.7,-11.7,14.4,,,,42,0,1
2020,1,Texas State,SMU,0,-13.4,9.2,-22.6,,,,24,31,0
2020,1,Memphis,Arkansas State,0,5.7,-6.5,12.2,,,,37,24,1
2020,1,Navy,BYU,0,-9.3,19.2,-28.5,,,,3,55,0
2020,2,Miami,UAB,0,12.8,6.3,6.5,,,,31,14,1
2020,2,North Carolina,Syracuse,0,18,-9.8,27.8,,,,31,6,1
2020,2,App State,Charlotte,0,10.3,-6.6,16.9,,,,35,20,1
2020,2,Kansas State,Arkansas State,0,2,-6.5,8.5,,,,31,35,0
2020,2,Iowa State,Louisiana,0,13.3,8.1,5.2,,,,14,31,0
2020,2,Army,UL Monroe,0,2.7,-18.4,21.1,,,,37,7,1
2020,2,Notre Dame,Duke,0,21,-4.2,25.2,,,,27,13,1
2020,2,Texas State,UTSA,0,-13.4,-9.6,-3.8,,,,48,51,0
2020,2,Florida State,Georgia Tech,0,-4.9,-1,-3.9,,,,13,16,0
2020,2,South Alabama,Tulane,0,-11.3,4.2,-15.5,,,,24,27,0
2020,2,Wake Forest,Clemson,0,0.8,26.1,-25.3,,,,13,37,0
2020,2,Texas,UTEP,0,9.7,-18.6,28.3,,,,59,3,1
2020,2,Louisville,Western Kentucky,0,6.5,-3.2,9.7,,,,35,21,1
2020,2,Kansas,Coastal Carolina,0,-16.3,6.6,-22.9,,,,23,38,0
2020,3,Western Kentucky,Liberty,0,-3.2,6.5,-9.7,,,,24,30,0
2020,3,Pittsburgh,Syracuse,0,6,-9.8,15.8,,,,21,10,1
2020,3,Oklahoma State,Tulsa,0,14.2,5.6,8.6,,,,16,7,1
2020,3,Georgia State,Louisiana,0,-5.7,8.1,-13.8,,,,31,34,0
2020,3,Tulane,Navy,0,4.2,-9.3,13.5,,,,24,27,0
2020,3,Duke,Boston College,0,-4.2,0.9,-5.1,,,,6,26,0
2020,3,Notre Dame,South Florida,0,21,-11.4,32.4,,,,52,0,1
2020,3,Marshall,App State,0,9.5,10.3,-0.8,,,,17,7,1
2020,3,Georgia Tech,UCF,0,-1,13.6,-14.6,,,,21,49,0
2020,3,Middle Tennessee,Troy,0,-11.7,2.3,-14.0,,,,14,47,0
2020,3,North Texas,SMU,0,-8,9.2,-17.2,,,,35,65,0
2020,3,Southern Miss,Louisiana Tech,0,-7.9,-7,-0.9,,,,30,31,0
