season,team,wins,losses,games
2022,St. Scholastica,2,7,9
2022,Greensboro,2,8,10
2022,Fort Valley State,8,2,10
2022,Notre Dame College,9,3,12
2022,Northern Iowa,6,5,11
2022,Kent State,5,7,12
2022,Wayne State (NE),9,3,12
2022,Eastern Michigan,8,4,12
2022,UL Monroe,4,8,12
2022,Colorado,1,11,12
2022,Toledo,8,5,13
2022,Ferris State,13,1,14
2022,Elon,8,4,12
2022,Texas A&M,5,7,12
2022,Utah,10,3,13
2022,Maryland,7,5,12
2022,Tarleton State,6,5,11
2022,Bethel (MN),10,2,12
2022,Saint Vincent,5,5,10
2022,Georgia Tech,5,7,12
2022,Ole Miss,8,4,12
2022,Defiance College,3,7,10
2022,Kenyon,2,7,9
2022,Manchester,1,9,10
2022,Shaw,3,6,9
2022,Buena Vista,4,6,10
2022,Coastal Carolina,9,3,12
2022,Valparaiso,5,7,12
2022,Monmouth (IL),8,2,10
2022,Washington State,7,5,12
2022,Rutgers,4,8,12
2022,Coe,7,3,10
2022,New Mexico Highlands,3,7,10
2022,Wisconsin Eau Claire,2,8,10
2022,North Park,1,8,10
2022,Morgan State,4,7,11
2022,Georgia,13,0,13
2022,Stonehill,4,5,9
2022,Mississippi Valley State,2,9,11
2022,Mercer,7,4,11
2022,Millersville,5,6,11
2022,Hanover,5,5,10
2022,Minnesota,8,4,12
2022,Wisconsin Platteville,5,5,10
2022,Hampton,4,7,11
2022,Franklin,4,6,10
2022,Alderson-Broaddus,0,11,11
2022,Upper Iowa,1,10,11
2022,La Verne,2,8,10
2022,UT Martin,7,4,11
2022,BYU,7,5,12
2022,Oregon,9,3,12
2022,Western Kentucky,8,5,13
2022,South Dakota,3,8,11
2022,Salisbury,9,2,11
2022,San Diego,5,5,11
2022,Youngstown State,7,4,11
2022,Abilene Christian,7,4,11
2022,Dayton,8,3,11
2022,Austin Peay,7,4,11
2022,New Haven,8,3,11
2022,Bentley,7,3,10
2022,Beloit,1,9,10
2022,Fayetteville State,8,3,11
2022,King's,8,2,10
2022,Rochester (NY),3,7,10
2022,Capital,0,10,10
2022,Middle Tennessee,7,5,12
2022,Southern Utah,5,6,11
2022,Chattanooga,7,4,11
2022,Washington & Jefferson,8,2,10
2022,Anna Maria College,5,4,9
2022,Lake Erie,2,9,11
2022,Northwestern State,4,7,11
2022,Carthage,3,7,10
2022,Minnesota State,10,3,13
2022,Alvernia,3,7,10
2022,Kalamazoo,3,7,10
2022,Averett,3,6,9
2022,Lewis & Clark,4,5,9
2022,Jacksonville State,9,2,11
2022,Louisville,7,5,12
2022,Alfred,2,8,10
2022,Wisconsin,6,6,12
2022,Kentucky Wesleyan,2,9,11
2022,Winona State,8,4,12
2022,Oberlin,0,10,10
2022,Post,0,9,9
2022,Maine,2,9,11
2022,Miami,5,7,12
2022,Southern Nazarene,5,6,11
2022,Limestone,8,4,12
2022,Oklahoma State,7,5,12
2022,South Alabama,10,2,12
2022,Southern,7,5,12
2022,Slippery Rock,10,3,13
2022,DePauw,9,2,11
2022,Merchant Marine,6,3,9
2022,Oklahoma,6,6,12
2022,Hamilton,2,7,9
2022,Temple,3,9,12
2022,Bloomsburg,3,8,11
2022,Sul Ross State,4,6,10
2022,Juniata,0,10,10
2022,Boise State,9,4,13
2022,Presbyterian,1,10,11
2022,Husson,5,5,10
2022,Idaho State,1,10,11
2022,Pennsylvania,8,2,10
2022,Chapman,7,3,10
2022,Concordia Chicago,3,7,10
2022,Heidelberg,7,3,10
2022,Missouri Southern State,4,7,11
2022,Hampden Sydney,5,5,10
2022,University of Mary,2,9,11
2022,Texas Southern,5,6,11
2022,Sacred Heart,5,6,11
2022,Michigan Tech,4,7,11
2022,Kennesaw State,5,6,11
2022,Adams State,2,9,11
2022,Johnson C. Smith,2,7,10
2022,Dean,1,9,10
2022,Davidson,8,4,12
2022,Lafayette,4,7,11
2022,Lindenwood,7,3,10
2022,Northwestern (OK),1,10,11
2022,Washington St. Louis,8,2,10
2022,Apprentice School,0,1,1
2022,Wyoming,7,5,12
2022,Findlay,7,4,11
2022,Gardner-Webb,7,6,13
2022,Edward Waters,5,6,11
2022,South Dakota State,12,1,13
2022,Augustana (IL),5,5,10
2022,Stevenson,8,2,10
2022,Navy,4,8,12
2022,Northwest Missouri State,10,3,13
2022,Stetson,4,6,11
2022,Saint Anselm,6,4,10
2022,Cincinnati,9,3,12
2022,North Central College,14,0,14
2022,Brockport,7,3,10
2022,Hardin Simmons,9,2,11
2022,Tulane,11,2,13
2022,Rensselaer,7,3,10
2022,The College of New Jersey,3,6,9
2022,Bethune-Cookman,2,9,11
2022,North Texas,7,6,13
2022,Georgia Southern,6,6,12
2022,John Carroll,8,2,10
2022,Texas A&M-Kingsville,7,4,11
2022,New Mexico State,6,6,12
2022,Louisiana,6,6,12
2022,Delaware Valley,12,1,13
2022,Macalester,4,5,9
2022,Bowling Green,6,6,12
2022,Rowan,7,3,10
2022,Central Oklahoma,6,5,11
2022,Amherst,2,7,9
2022,Sacramento State,12,1,13
2022,Ursinus,8,2,10
2022,Assumption,7,3,10
2022,IU Pennsylvania,10,2,12
2022,Notre Dame,8,4,12
2022,Dartmouth,3,7,10
2022,Simon Fraser,1,8,9
2022,Princeton,8,2,10
2022,Southwest Minnesota State,4,7,11
2022,Carnegie Mellon,10,1,12
2022,LSU,9,4,13
2022,Midwestern State,6,5,11
2022,Saginaw Valley State,8,3,11
2022,Missouri,6,6,12
2022,Gallaudet,7,3,10
2022,St. Lawrence,4,6,10
2022,West Florida,12,2,14
2022,Memphis,6,6,12
2022,Florida,6,6,12
2022,Lakeland,3,7,10
2022,San José State,7,4,11
2022,Wayne State (MI),1,9,10
2022,Western Connecticut State,7,3,10
2022,Wisconsin Stevens Point,1,9,10
2022,Northwestern,1,11,12
2022,Clemson,11,2,13
2022,Middlebury,7,2,9
2022,Wesleyan (CT),5,3,8
2022,Illinois Wesleyan,5,4,10
2022,Minnesota Duluth,8,3,11
2022,Truman State,8,2,10
2022,Houston Christian,2,9,11
2022,Alabama State,6,5,11
2022,Northwestern (MN),6,5,11
2022,Montana State,12,1,13
2022,Gannon,8,3,11
2022,Arkansas State,3,9,12
2022,Villanova,6,5,11
2022,Robert Morris,0,11,11
2022,Adrian,6,4,10
2022,Florida Atlantic,5,7,12
2022,Wartburg,13,1,14
2022,South Carolina,8,4,12
2022,Sam Houston,5,4,9
2022,Wisconsin Whitewater,8,3,11
2022,Harding,9,2,11
2022,LaGrange,1,8,9
2022,Wisconsin Oshkosh,6,4,10
2022,Mars Hill,7,3,10
2022,Indiana,4,8,12
2022,Hiram,3,7,10
2022,Arkansas Tech,5,6,11
2022,Austin,1,9,10
2022,Berry,7,3,10
2022,SUNY Cortland,9,2,11
2022,San Diego State,7,5,12
2022,Gettysburg,1,9,10
2022,Western Colorado,7,4,11
2022,Texas Lutheran,4,6,10
2022,McMurry,1,9,10
2022,UVA Wise,2,9,11
2022,East Texas Baptist,5,5,10
2022,Shippensburg,5,6,11
2022,Northern Michigan,4,7,11
2022,Glenville State,7,4,11
2022,Hartwick,2,8,10
2022,Elizabeth City State,2,7,9
2022,Shorter,3,8,11
2022,Florida International,4,8,12
2022,UMass Dartmouth,9,2,11
2022,Marist,4,7,11
2022,Charleston (WV),6,5,11
2022,Butler,7,4,11
2022,Northern Arizona,3,8,11
2022,VMI,1,10,11
2022,Samford,11,2,13
2022,Wilkes,7,3,10
2022,Kentucky,7,5,12
2022,Fort Lewis,0,10,10
2022,Washburn,7,4,11
2022,Benedict,11,1,12
2022,Nebraska,4,8,12
2022,Troy,11,2,13
2022,UAB,6,6,12
2022,Wisconsin Lutheran,4,6,10
2022,Illinois,8,4,12
2022,South Carolina State,3,8,11
2022,CSU Pueblo,8,4,12
2022,Nichols,4,6,10
2022,Towson,6,5,11
2022,Central Michigan,4,8,12
2022,Chowan,6,3,9
2022,West Virginia Wesleyan,1,10,11
2022,Wilmington (OH),3,7,10
2022,North Carolina Wesleyan,3,7,10
2022,Louisiana Tech,3,9,12
2022,St. John Fisher,4,6,10
2022,UNLV,5,7,12
2022,Iowa State,4,8,12
2022,Lane College,5,5,10
2022,Gustavus Adolphus,6,3,9
2022,Susquehanna,10,1,11
2022,Norwich,3,7,10
2022,Grinnell,2,6,8
2022,Wake Forest,7,5,12
2022,Hobart,7,3,10
2022,Charleston Southern,2,8,10
2022,St. Norbert,7,3,10
2022,Kean,3,7,10
2022,Alma,11,1,12
2022,Ohio State,11,1,12
2022,Norfolk State,2,9,11
2022,Lycoming,4,6,10
2022,Auburn,5,7,12
2022,Ohio,9,4,13
2022,Knox,5,5,10
2022,Eureka,2,8,10
2022,Purdue,8,5,13
2022,Campbell,5,6,11
2022,Redlands,4,6,10
2022,Augsburg,6,3,9
2022,Incarnate Word,12,1,13
2022,Franklin & Marshall,6,4,10
2022,West Chester,7,4,11
2022,Linfield,10,1,11
2022,Finlandia University,0,10,10
2022,Minnesota St Moorhead,4,7,11
2022,Quincy,4,7,11
2022,Tennessee,10,2,12
2022,Olivet,5,5,10
2022,Keystone,3,7,10
2022,Arkansas Monticello,3,8,11
2022,McNeese,4,7,11
2022,Hope,6,4,10
2022,Miles,1,9,10
2022,UTEP,5,7,12
2022,Rhodes,5,5,10
2022,Washington,10,2,12
2022,Missouri State,5,6,11
2022,Army,6,6,12
2022,Southwestern U,2,8,10
2022,Richmond,9,4,13
2022,Tennessee State,4,7,11
2022,Duquesne,4,7,11
2022,Westminster (MO),1,9,10
2022,East Texas A&M,5,6,11
2022,FDU Florham,6,4,10
2022,Indiana State,2,9,11
2022,Bethany (WV),1,8,9
2022,Springfield,9,3,12
2022,Southeast Missouri State,9,3,12
2022,Eastern Kentucky,7,5,12
2022,Wisconsin La Crosse,9,2,11
2022,Southwest Baptist,6,5,11
2022,Ashland,10,2,12
2022,Bridgewater,9,1,10
2022,Eastern Washington,3,8,11
2022,Emory & Henry,5,6,11
2022,Monmouth,5,6,11
2022,Allen,1,8,10
2022,Virginia Tech,3,8,11
2022,Clarion,3,8,11
2022,Stony Brook,2,9,11
2022,Nebraska Kearney,8,3,11
2022,Lehigh,2,9,11
2022,Case Western Reserve,6,4,10
2022,Boston College,3,9,12
2022,Valdosta State,5,6,11
2022,Eastern New Mexico,3,8,11
2022,Fitchburg State,1,9,10
2022,Grand Valley State,12,1,13
2022,Long Island University,4,7,11
2022,Southern Virginia,1,9,10
2022,Concord,9,2,11
2022,Sioux Falls,8,3,11
2022,Johns Hopkins,9,1,10
2022,East Stroudsburg,4,7,11
2022,Buffalo State,0,10,10
2022,Tufts,6,3,9
2022,Hawai'i,3,10,13
2022,Franklin Pierce,2,8,10
