Team,Conf,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W15,Notes
Army,AAC,,vs Bryant,vs South Florida,,@ Temple,@ Louisiana Tech,vs Tulane,vs Florida Atlantic,@ Tulsa,@ Memphis,vs Air Force,,vs East Carolina,@ Rice,vs Navy,W15 = Army-Navy (13th game)
Charlotte,AAC,,vs The Citadel,@ Ole Miss,@ Appalachian State,vs UL Lafayette,vs Memphis,@ North Texas,@ Temple,,vs Tulane,@ UAB,vs East Carolina,@ Tulsa,vs Navy,,
East Carolina,AAC,,@ Alabama,vs Appalachian State,@ Old Dominion,vs North Carolina Central,,vs Rice,@ UAB,@ Memphis,vs Temple,vs South Florida,@ Charlotte,@ Army,vs Florida Atlantic,,
Florida Atlantic,AAC,,@ Florida,vs Navy,vs Florida Intl,@ UL Monroe,vs Texas Southern,,@ Army,vs Rice,@ North Texas,vs UTSA,@ Tulsa,vs South Florida,@ East Carolina,,
Memphis,AAC,@ UNLV,vs Arkansas State,@ Boise State,vs UT Martin,,@ Charlotte,vs UAB,@ Tulane,vs East Carolina,vs Army,,@ South Florida,@ Navy,vs Temple,,
Navy,AAC,,vs Towson,@ Florida Atlantic,,@ UAB,@ Air Force,vs Tulsa,@ UTSA,vs North Texas,vs Notre Dame,vs Temple,,vs Memphis,@ Charlotte,@ Army,W15 = Army-Navy (13th game)
North Texas,AAC,,@ Indiana,vs UNLV,@ Texas State,vs Houston Christian,@ Tulsa,vs Charlotte,,@ Navy,vs Florida Atlantic,vs Rice,@ UTSA,@ Tulane,vs UAB,,
Rice,AAC,,vs Houston Christian,@ Notre Dame,vs Western Michigan,@ Fresno State,vs UTSA,@ East Carolina,vs Tulsa,@ Florida Atlantic,,@ North Texas,vs Tulane,@ Temple,vs Army,,
South Florida,AAC,,vs Florida Intl,@ Army,vs Delaware State,@ Bowling Green,vs Temple,@ UTSA,vs Kent State,,vs UAB,@ East Carolina,vs Memphis,@ Florida Atlantic,vs Tulane,,
Temple,AAC,,vs Rhode Island,vs Penn State,@ Toledo,vs Army,@ South Florida,vs UConn,vs Charlotte,,@ East Carolina,@ Navy,vs UAB,vs Rice,@ Memphis,,
Tulane,AAC,,@ Duke,vs South Alabama,@ Kansas State,vs Southern Mississippi,,@ Army,vs Memphis,vs UTSA,@ Charlotte,vs Tulsa,@ Rice,vs North Texas,@ South Florida,,
Tulsa,AAC,,vs Oklahoma State,@ Sam Houston,vs East Texas A&M,@ Arkansas,vs North Texas,@ Navy,@ Rice,vs Army,,@ Tulane,vs Florida Atlantic,vs Charlotte,@ UTSA,,
UAB,AAC,,@ Illinois,vs UL Monroe,@ UL Lafayette,vs Navy,vs Samford,@ Memphis,vs East Carolina,,@ South Florida,vs Charlotte,@ Temple,vs UTSA,@ North Texas,,
UTSA,AAC,,vs UT Rio Grande Valley,@ Texas State,@ Texas,vs Colorado State,@ Rice,vs South Florida,vs Navy,@ Tulane,,@ Florida Atlantic,vs North Texas,@ UAB,vs Tulsa,,
California,ACC,,vs UCLA,@ Syracuse,vs Wagner,vs Clemson,@ UNLV,vs Virginia Tech,vs Wake Forest,@ SMU,@ NC State,,@ Virginia,vs Stanford,vs Pittsburgh,,
Clemson,ACC,,@ LSU,vs Georgia Southern,vs North Carolina,@ California,vs Miami,,vs Charleston Southern,vs Virginia Tech,@ Florida State,@ Syracuse,vs Georgia Tech,@ Duke,vs South Carolina,,
Duke,ACC,,vs Tulane,@ Illinois,vs Stanford,vs William & Mary,,@ Georgia Tech,vs North Carolina,@ Virginia,vs Boston College,@ NC State,@ Miami,vs Clemson,@ Wake Forest,,
Florida State,ACC,vs New Mexico State,vs SMU,,@ Alabama,vs Central Arkansas,vs Virginia,@ Louisville,@ Miami,,vs Clemson,@ Boston College,@ Pittsburgh,vs NC State,vs Florida,,
Georgia Tech,ACC,,vs Colorado,vs Tennessee,vs Mercer,@ Stanford,,vs Duke,@ Virginia Tech,vs Boston College,@ Pittsburgh,vs Louisville,@ Clemson,vs Wake Forest,@ Georgia,,
Louisville,ACC,,@ Ole Miss,vs Villanova,vs SMU,vs Wake Forest,@ NC State,vs Florida State,@ Syracuse,,vs Stanford,@ Georgia Tech,@ North Carolina,vs Pittsburgh,@ Kentucky,,
Miami,ACC,,@ Stanford,vs Florida A&M,@ Wake Forest,vs Central Michigan,@ Clemson,,vs Florida State,vs Pittsburgh,@ North Carolina,@ Notre Dame,vs Duke,vs Virginia Tech,vs Boston College,,
NC State,ACC,@ Virginia,,vs Richmond,@ Vanderbilt,vs Appalachian State,vs Louisville,vs Wake Forest,,@ Stanford,vs California,vs Duke,vs Syracuse,@ Florida State,@ North Carolina,,
North Carolina,ACC,@ TCU,,vs East Tennessee State,@ Clemson,,vs Notre Dame,@ Pittsburgh,@ Duke,vs Syracuse,vs Miami,@ UConn,vs Louisville,@ Virginia,vs NC State,,
Pittsburgh,ACC,,vs Miami-OH,vs UCF,vs Syracuse,vs Bucknell,@ Virginia Tech,vs North Carolina,@ Boston College,@ Miami,vs Georgia Tech,,vs Florida State,@ Louisville,@ California,,
SMU,ACC,,@ Florida State,vs UC Davis,@ Louisville,vs Missouri State,vs Boston College,,vs Virginia,vs California,@ Syracuse,vs Virginia Tech,vs Wake Forest,@ Notre Dame,@ Stanford,,
Stanford,ACC,vs Hawaii,vs Miami,,@ Duke,vs Georgia Tech,@ Wake Forest,@ Notre Dame,vs Elon,vs NC State,@ Louisville,,@ Virginia Tech,@ California,vs SMU,,
Virginia,ACC,vs NC State,,vs Norfolk State,vs West Virginia,vs Delaware,@ Florida State,vs Syracuse,@ SMU,vs Duke,@ Wake Forest,,vs California,vs North Carolina,@ Virginia Tech,,
Virginia Tech,ACC,,vs VMI,vs Old Dominion,@ Maryland,@ Boston College,vs Pittsburgh,@ California,vs Georgia Tech,@ Clemson,,@ SMU,vs Stanford,@ Miami,vs Virginia,,
Wake Forest,ACC,,vs Akron,@ Purdue,vs Miami,@ Louisville,vs Stanford,@ NC State,@ California,,vs Virginia,vs Merrimack,@ SMU,@ Georgia Tech,vs Duke,,
Arizona,Big 12,,vs Northern Arizona,@ BYU,vs Northern Illinois,@ Washington State,vs Cincinnati,@ West Virginia,,vs Iowa State,@ Texas Tech,vs TCU,vs Utah,@ Kansas State,vs Arizona State,,
Arizona State,Big 12,,vs Morgan State,@ Texas A&M,@ Kansas,,vs Baylor,vs Hawaii,@ Texas Tech,vs Kansas State,@ BYU,vs Colorado,@ UCF,vs Oklahoma State,@ Arizona,,
Baylor,Big 12,,@ Auburn,vs Prairie View A&M,vs Louisiana Tech,vs Colorado,@ Arizona State,,vs TCU,@ Kansas,@ UCF,vs Iowa State,@ BYU,vs Texas Tech,@ Houston,,
BYU,Big 12,,vs Utah Tech,vs Arizona,@ Colorado State,,@ TCU,vs Iowa State,vs Notre Dame,@ UCF,vs Arizona State,@ Utah,vs Baylor,@ Kansas,vs Cincinnati,,
Cincinnati,Big 12,,vs Boston College,vs Western Carolina,vs Miami-OH,vs Kansas State,@ Arizona,,@ West Virginia,vs Texas Tech,vs Utah,@ Houston,@ Iowa State,vs Colorado,@ BYU,,
Colorado,Big 12,,@ Georgia Tech,vs Weber State,@ Northwestern,@ Baylor,vs Texas Tech,,vs Utah,@ Oklahoma State,vs Kansas State,@ Arizona State,vs Houston,@ Cincinnati,vs UCF,,
Houston,Big 12,,vs Oregon State,vs Southern,@ Texas Tech,@ Georgia Southern,vs UCF,@ Kansas State,vs Oklahoma State,@ Utah,,vs Cincinnati,@ Colorado,@ West Virginia,vs Baylor,,
Iowa State,Big 12,,vs Southeast Missouri State,@ Iowa,vs Bowling Green,vs Utah,vs West Virginia,@ BYU,,@ Arizona,vs Oklahoma State,@ Baylor,vs Cincinnati,@ UCF,vs Kansas State,,
Kansas,Big 12,,vs Long Island University,vs Missouri,vs Arizona State,,vs Middle Tennessee,@ Utah,@ Kansas State,vs Baylor,@ TCU,vs UCF,@ West Virginia,vs BYU,@ Oklahoma State,,
Kansas State,Big 12,,vs Nicholls,vs Washington State,vs Tulane,@ Cincinnati,,vs Houston,vs Kansas,@ Arizona State,@ Colorado,vs Oklahoma State,@ TCU,vs Arizona,@ Iowa State,,
TCU,Big 12,vs North Carolina,,vs Grambling,vs Arkansas State,@ UCF,vs BYU,,@ Baylor,vs West Virginia,vs Kansas,@ Arizona,vs Kansas State,vs Utah,@ Texas Tech,,
Texas Tech,Big 12,,vs Abilene Christian,@ Oregon State,vs Houston,vs Sam Houston,@ Colorado,,vs Arizona State,@ Cincinnati,vs Arizona,vs West Virginia,@ Oklahoma State,@ Baylor,vs TCU,,
UCF,Big 12,,vs Bethune-Cookman,@ Pittsburgh,vs Georgia State,vs TCU,@ Houston,@ Oklahoma State,,vs BYU,vs Baylor,@ Kansas,vs Arizona State,vs Iowa State,@ Colorado,,
Utah,Big 12,,vs Idaho,vs Arkansas,vs Utah State,@ Iowa State,,vs Kansas,@ Colorado,vs Houston,@ Cincinnati,vs BYU,@ Arizona,@ TCU,vs West Virginia,,
West Virginia,Big 12,,vs Coastal Carolina,vs UT Martin,@ Virginia,vs Oklahoma State,@ Iowa State,vs Arizona,vs Cincinnati,@ TCU,,@ Texas Tech,vs Kansas,vs Houston,@ Utah,,
Illinois,Big Ten,,vs UAB,vs Duke,vs Southern Illinois,@ Ohio State,vs Purdue,@ Michigan State,,vs Oregon,@ Maryland,vs Nebraska,@ UCLA,vs Iowa,@ Northwestern,,
Indiana,Big Ten,,vs North Texas,vs Howard,vs Western Kentucky,vs Northwestern,@ Rutgers,@ Nebraska,vs Ohio State,@ Michigan,vs Minnesota,,vs USC,@ Washington,vs Purdue,,
Iowa,Big Ten,,vs Northern Illinois,vs Iowa State,vs Northern Iowa,@ Michigan,vs Ohio State,@ Washington,,@ Minnesota,vs Wisconsin,@ Northwestern,vs Purdue,@ Illinois,vs Nebraska,,
Maryland,Big Ten,,vs Hampton,@ UConn,vs Virginia Tech,vs UCLA,@ Nebraska,@ Ohio State,vs Rutgers,,vs Illinois,@ Purdue,vs Wisconsin,@ USC,vs Penn State,,
Michigan,Big Ten,,vs Western Michigan,vs Oklahoma,vs UTEP,vs Iowa,@ Minnesota,,vs Penn State,vs Indiana,@ Rutgers,vs Michigan State,@ Oregon,vs UCLA,@ Ohio State,,
Minnesota,Big Ten,,vs Eastern Illinois,vs Mississippi State,vs Akron,@ Washington,vs Michigan,@ Purdue,,vs Iowa,@ Indiana,vs UCLA,@ Penn State,vs Northwestern,@ Wisconsin,,
Nebraska,Big Ten,,vs Ohio,vs Bowling Green,vs North Dakota,@ Michigan State,vs Maryland,vs Indiana,@ Oregon,,vs Washington,@ Illinois,@ Rutgers,vs Ohio State,@ Iowa,,
Northwestern,Big Ten,,vs South Dakota State,,vs Colorado,@ Indiana,vs Penn State,vs Ball State,@ Michigan State,vs Rutgers,@ Oregon,vs Iowa,@ Ohio State,@ Minnesota,vs Illinois,,
Ohio State,Big Ten,,vs Ball State,@ Texas,vs Kent State,vs Illinois,@ Iowa,vs Maryland,@ Indiana,,@ USC,vs Oregon,vs Northwestern,@ Nebraska,vs Michigan,,
Oregon,Big Ten,,vs Boise State,@ Oklahoma State,vs Portland State,@ USC,,vs UCLA,vs Nebraska,@ Illinois,vs Northwestern,@ Ohio State,vs Michigan,@ Michigan State,vs Washington,,
Penn State,Big Ten,,vs Marshall,@ Temple,vs Buffalo,vs Wisconsin,@ Northwestern,vs USC,@ Michigan,,vs Purdue,@ Washington,vs Minnesota,vs Rutgers,@ Maryland,,
Rutgers,Big Ten,,vs UMASS,@ Boston College,vs USC,vs Howard,vs Indiana,,@ Maryland,@ Northwestern,vs Michigan,@ Wisconsin,vs Nebraska,@ Penn State,vs Michigan State,,
UCLA,Big Ten,,@ California,vs San Diego State,vs Purdue,@ Maryland,,@ Oregon,vs Wisconsin,vs Michigan State,vs Nevada,@ Minnesota,vs Illinois,@ Michigan,vs USC,,
USC,Big Ten,vs San José State,vs Fresno State,vs UL Lafayette,@ Rutgers,vs Oregon,vs Washington,@ Penn State,,@ Wisconsin,vs Ohio State,,@ Indiana,vs Maryland,@ UCLA,,
Washington,Big Ten,,vs Washington State,vs Utah State,vs Eastern Washington,vs Minnesota,@ USC,vs Iowa,@ Purdue,,@ Nebraska,vs Penn State,@ Michigan State,vs Indiana,@ Oregon,,
Wisconsin,Big Ten,,@ Notre Dame,vs Western Illinois,vs EMU,@ Penn State,vs Michigan State,,@ UCLA,vs USC,@ Iowa,vs Rutgers,@ Maryland,@ Purdue,vs Minnesota,,
Delaware,CUSA,,vs Merrimack,@ Vanderbilt,vs Coastal Carolina,@ Virginia,vs Liberty,,@ Middle Tennessee,vs Missouri State,@ Western Kentucky,@ Kennesaw State,vs Florida Intl,@ New Mexico State,vs Jacksonville State,,
