Team,Conf,Week,Opp,Home,WinPct,FCS,RealLine
Army,AAC,1,Bryant,1,99,1,1
Army,AAC,2,South Florida,1,57,0,0
Army,AAC,4,Temple,0,59,0,0
Army,AAC,5,Louisiana Tech,0,58,0,0
Army,AAC,6,Tulane,1,64,0,0
Army,AAC,7,Florida Atlantic,1,69,0,0
Army,AAC,8,Tulsa,0,56,0,0
Army,AAC,9,Memphis,0,37,0,0
Army,AAC,10,Air Force,1,56,0,0
Army,AAC,12,East Carolina,1,54,0,0
Army,AAC,13,Rice,0,75,0,0
Army,AAC,15,Navy,1,45,0,0
Charlotte,AAC,1,The Citadel,1,81,1,1
Charlotte,AAC,2,Ole Miss,0,0,0,0
Charlotte,AAC,3,Appalachian State,0,5,0,0
Charlotte,AAC,4,UL Lafayette,1,6,0,0
Charlotte,AAC,5,Memphis,1,2,0,0
Charlotte,AAC,6,North Texas,0,4,0,0
Charlotte,AAC,7,Temple,0,3,0,0
Charlotte,AAC,9,Tulane,1,4,0,0
Charlotte,AAC,10,UAB,0,11,0,0
Charlotte,AAC,11,East Carolina,1,2,0,0
Charlotte,AAC,12,Tulsa,0,2,0,0
Charlotte,AAC,13,Navy,1,1,0,0
East Carolina,AAC,1,Alabama,0,4,0,1
East Carolina,AAC,2,Appalachian State,1,82,0,0
East Carolina,AAC,3,Old Dominion,0,54,0,0
East Carolina,AAC,4,North Carolina Central,1,100,1,0
East Carolina,AAC,6,Rice,1,87,0,0
East Carolina,AAC,7,UAB,0,84,0,0
East Carolina,AAC,8,Memphis,0,40,0,0
East Carolina,AAC,9,Temple,1,75,0,0
East Carolina,AAC,10,South Florida,1,60,0,0
East Carolina,AAC,11,Charlotte,0,98,0,0
East Carolina,AAC,12,Army,0,46,0,0
East Carolina,AAC,13,Florida Atlantic,1,71,0,0
Florida Atlantic,AAC,1,Florida,0,6,0,1
Florida Atlantic,AAC,2,Navy,1,34,0,0
Florida Atlantic,AAC,3,Florida Intl,1,75,0,0
Florida Atlantic,AAC,4,UL Monroe,0,86,0,0
Florida Atlantic,AAC,5,Texas Southern,1,100,1,0
Florida Atlantic,AAC,7,Army,0,31,0,0
Florida Atlantic,AAC,8,Rice,1,77,0,0
Florida Atlantic,AAC,9,North Texas,0,56,0,0
Florida Atlantic,AAC,10,UTSA,1,41,0,0
Florida Atlantic,AAC,11,Tulsa,0,44,0,0
Florida Atlantic,AAC,12,South Florida,1,45,0,0
Florida Atlantic,AAC,13,East Carolina,0,29,0,0
Memphis,AAC,0,UNLV,0,32,0,0
Memphis,AAC,1,Arkansas State,1,77,0,1
Memphis,AAC,2,Boise State,0,22,0,0
Memphis,AAC,3,UT Martin,1,100,1,0
Memphis,AAC,5,Charlotte,0,98,0,0
Memphis,AAC,6,UAB,1,93,0,0
Memphis,AAC,7,Tulane,0,56,0,0
Memphis,AAC,8,East Carolina,1,60,0,0
Memphis,AAC,9,Army,1,63,0,0
Memphis,AAC,11,South Florida,0,48,0,0
Memphis,AAC,12,Navy,0,36,0,0
Memphis,AAC,13,Temple,1,77,0,0
Navy,AAC,1,Towson,1,97,1,1
Navy,AAC,2,Florida Atlantic,0,66,0,0
Navy,AAC,4,UAB,0,89,0,0
Navy,AAC,5,Air Force,0,53,0,0
Navy,AAC,6,Tulsa,1,80,0,0
Navy,AAC,7,UTSA,0,50,0,0
Navy,AAC,8,North Texas,1,87,0,0
Navy,AAC,9,Notre Dame,1,5,0,0
Navy,AAC,10,Temple,1,82,0,0
Navy,AAC,12,Memphis,1,64,0,0
Navy,AAC,13,Charlotte,0,99,0,0
Navy,AAC,15,Army,0,55,0,0
North Texas,AAC,1,Indiana,0,0,0,0
North Texas,AAC,2,UNLV,1,19,0,0
North Texas,AAC,3,Texas State,0,27,0,0
North Texas,AAC,4,Houston Christian,1,99,1,0
North Texas,AAC,5,Tulsa,0,31,0,0
North Texas,AAC,6,Charlotte,1,96,0,0
North Texas,AAC,8,Navy,0,13,0,0
North Texas,AAC,9,Florida Atlantic,1,44,0,0
North Texas,AAC,10,Rice,1,66,0,0
North Texas,AAC,11,UTSA,0,17,0,0
North Texas,AAC,12,Tulane,0,26,0,0
North Texas,AAC,13,UAB,1,74,0,0
Rice,AAC,1,Houston Christian,1,94,1,1
Rice,AAC,2,Notre Dame,0,0,0,0
Rice,AAC,3,Western Michigan,1,36,0,0
Rice,AAC,4,Fresno State,0,13,0,0
Rice,AAC,5,UTSA,1,21,0,0
Rice,AAC,6,East Carolina,0,13,0,0
Rice,AAC,7,Tulsa,1,37,0,0
Rice,AAC,8,Florida Atlantic,0,23,0,0
Rice,AAC,10,North Texas,0,34,0,0
Rice,AAC,11,Tulane,1,31,0,0
Rice,AAC,12,Temple,0,26,0,0
Rice,AAC,13,Army,1,25,0,0
South Florida,AAC,1,Florida Intl,1,80,0,1
South Florida,AAC,2,Army,0,43,0,0
South Florida,AAC,3,Delaware State,1,100,1,0
South Florida,AAC,4,Bowling Green,0,72,0,0
South Florida,AAC,5,Temple,1,73,0,0
South Florida,AAC,6,UTSA,0,39,0,0
South Florida,AAC,7,Kent State,1,93,0,0
South Florida,AAC,9,UAB,1,91,0,0
South Florida,AAC,10,East Carolina,0,40,0,0
South Florida,AAC,11,Memphis,1,52,0,0
South Florida,AAC,12,Florida Atlantic,0,55,0,0
South Florida,AAC,13,Tulane,1,65,0,0
Temple,AAC,1,Rhode Island,1,78,1,1
Temple,AAC,2,Penn State,1,5,0,0
Temple,AAC,3,Toledo,0,51,0,0
Temple,AAC,4,Army,1,41,0,0
Temple,AAC,5,South Florida,0,27,0,0
Temple,AAC,6,UConn,1,64,0,0
Temple,AAC,7,Charlotte,1,97,0,0
Temple,AAC,9,East Carolina,0,25,0,0
Temple,AAC,10,Navy,0,18,0,0
Temple,AAC,11,UAB,1,81,0,0
Temple,AAC,12,Rice,1,74,0,0
Temple,AAC,13,Memphis,0,23,0,0
Tulane,AAC,1,Duke,0,22,0,1
Tulane,AAC,2,South Alabama,1,78,0,0
Tulane,AAC,3,Kansas State,0,9,0,0
Tulane,AAC,4,Southern Mississippi,1,93,0,0
Tulane,AAC,6,Army,0,36,0,0
Tulane,AAC,7,Memphis,1,44,0,0
Tulane,AAC,8,UTSA,1,46,0,0
Tulane,AAC,9,Charlotte,0,96,0,0
Tulane,AAC,10,Tulsa,1,63,0,0
Tulane,AAC,11,Rice,0,69,0,0
Tulane,AAC,12,North Texas,1,74,0,0
Tulane,AAC,13,South Florida,0,35,0,0
Tulsa,AAC,1,Oklahoma State,1,19,0,1
Tulsa,AAC,2,Sam Houston,0,88,0,0
Tulsa,AAC,3,East Texas A&M,1,100,1,0
Tulsa,AAC,4,Arkansas,0,13,0,0
Tulsa,AAC,5,North Texas,1,69,0,0
Tulsa,AAC,6,Navy,0,20,0,0
Tulsa,AAC,7,Rice,0,63,0,0
Tulsa,AAC,8,Army,1,44,0,0
Tulsa,AAC,10,Tulane,0,37,0,0
Tulsa,AAC,11,Florida Atlantic,1,56,0,0
Tulsa,AAC,12,Charlotte,1,98,0,0
Tulsa,AAC,13,UTSA,0,26,0,0
UAB,AAC,1,Illinois,0,5,0,1
UAB,AAC,2,UL Monroe,1,74,0,0
UAB,AAC,3,UL Lafayette,0,20,0,0
UAB,AAC,4,Navy,1,11,0,0
UAB,AAC,5,Samford,1,96,1,0
UAB,AAC,6,Memphis,0,7,0,0
UAB,AAC,7,East Carolina,1,16,0,0
UAB,AAC,9,South Florida,0,9,0,0
UAB,AAC,10,Charlotte,1,89,0,0
UAB,AAC,11,Temple,0,19,0,0
UAB,AAC,12,UTSA,1,15,0,0
UAB,AAC,13,North Texas,0,26,0,0
UTSA,AAC,1,UT Rio Grande Valley,1,95,1,1
UTSA,AAC,2,Texas State,0,56,0,0
UTSA,AAC,3,Texas,0,2,0,0
UTSA,AAC,4,Colorado State,1,75,0,0
UTSA,AAC,5,Rice,0,79,0,0
UTSA,AAC,6,South Florida,1,61,0,0
UTSA,AAC,7,Navy,1,50,0,0
UTSA,AAC,8,Tulane,0,54,0,0
UTSA,AAC,10,Florida Atlantic,0,59,0,0
UTSA,AAC,11,North Texas,1,83,0,0
UTSA,AAC,12,UAB,0,85,0,0
UTSA,AAC,13,Tulsa,1,74,0,0
California,ACC,1,UCLA,1,49,0,1
California,ACC,2,Syracuse,0,56,0,0
California,ACC,3,Wagner,1,100,1,0
California,ACC,4,Clemson,1,31,0,0
California,ACC,5,UNLV,0,45,0,0
